model,grupo,n,ok,wrong,none,errors,acierto_pct,tool_acierto_pct,error_rate_pct,lat_median_s,lat_p95_s,lat_min_s,lat_max_s,lat_stdev_s,tok_s_median,spec
gemma4:e4b,local,140,130,0,10,0,92.9,92.9,0.0,0.5535000000000001,1.083,0.473,91.451,7.652540413923646,27.83,ollama:gemma4:e4b
qwen3.5:4b,local,140,140,0,0,0,100.0,100.0,0.0,0.5834999999999999,0.8252999999999998,0.443,14.863,1.2069398721137516,48.614999999999995,ollama:qwen3.5:4b
nemotron-3-nano:4b,local,140,140,0,0,0,100.0,100.0,0.0,0.472,0.7237999999999997,0.363,41.178,3.4275938092522704,59.395,ollama:nemotron-3-nano:4b
ministral-3:8b,local,140,130,0,10,0,92.9,92.9,0.0,0.412,2.33425,0.296,25.468,2.1582584754228797,32.46,ollama:ministral-3:8b
granite4.1:3b,local,140,140,0,0,0,100.0,100.0,0.0,0.278,0.3401,0.233,10.74,0.8820518174826748,76.36,ollama:granite4.1:3b
qwen3.5:9b,local,140,140,0,0,0,100.0,100.0,0.0,0.733,1.0995999999999997,0.523,20.167,1.6442603073623554,37.894999999999996,ollama:qwen3.5:9b
functiongemma:270m,local,140,0,19,121,0,0.0,0.0,0.0,0.4535,33.2827,0.38,33.354,8.461107313126025,65.5,ollama:functiongemma:270m
